Campaña,Arte,Lance,Sector,Fecha,Long L,Latit L,Prof L,Prof Med,Species,Family,Order,Nºmuestra,P muestra
Maurit-0811,BT,67,Mauritania,12/6/1902,-16.6598,18.4838,356,358,Octopoteuthidae indet,Octopoteuthidae,Oegopsida,1,16
Maurit-0811,BT,67,Mauritania,12/6/1902,-16.6598,18.4838,356,358,Ornithoteuthis antillarum,Ommastrephidae,Oegopsida,2,247
Maurit-0811,BT,67,Mauritania,12/6/1902,-16.6598,18.4838,356,358,Todarodes sagittatus,Ommastrephidae,Oegopsida,6,3012
Maroc-0411,BT,1,Morocco N,11/14/2004,-6.4885,35.2432,646,670,Histiotheutidae indet,Histioteuthidae,Oegopsida,1,200
Maroc-0411,BT,1,Morocco N,11/14/2004,-6.4885,35.2432,646,670,Octopodidae indet,Octopodidae,Octopoda,3,411
Maroc-0411,BT,5,Morocco N,11/15/2004,-7.3590,35.2489,1461,1434,Ommastrephidae indet,Ommastrephidae,Oegopsida,1,22
Maroc-0411,BT,7,Morocco N,11/15/2004,-7.3050,35.2164,1420,1422,Oegopsida indet,n/a,Oegopsida,4,240
Maroc-0411,BT,6,Morocco N,11/15/2004,-7.2264,35.2103,1306,1298,Callistoctopus macropus,Octopodidae,Octopoda,1,151
Maroc-0411,BT,6,Morocco N,11/15/2004,-7.2264,35.2103,1306,1298,Macrotritopus defilippi,Octopodidae,Octopoda,1,18
Maroc-0411,BT,10,Morocco N,11/16/2004,-7.3188,35.3595,1291,1319,Octopodidae indet,Octopodidae,Octopoda,1,22
Maroc-0411,BT,10,Morocco N,11/16/2004,-7.3188,35.3595,1291,1319,Oegopsida indet,n/a,Oegopsida,1,42
Maroc-0411,BT,8,Morocco N,11/16/2004,-7.2525,35.4421,1301,1296,Oegopsida indet,n/a,Oegopsida,3,92
Maroc-0411,BT,11,Morocco N,11/17/2004,-7.2068,35.5550,990,995,Ancistroteuthis lichtensteinii,Onychoteuthidae,Oegopsida,1,153
Maroc-0411,BT,11,Morocco N,11/17/2004,-7.2068,35.5550,990,995,Oegopsida indet,n/a,Oegopsida,1,19
Maroc-0411,BT,11,Morocco N,11/17/2004,-7.2068,35.5550,990,995,Stigmatoteuthis arcturi,Histioteuthidae,Oegopsida,1,9
Maroc-0411,BT,14,Morocco N,11/18/2004,-6.4643,35.5189,720,722,Sepietta oweniana,Sepiolidae,Sepioidea,2,8
Maroc-0411,BT,15,Morocco N,11/18/2004,-6.4298,35.4134,715,713,Sepietta oweniana,Sepiolidae,Sepioidea,1,4
Maroc-0411,BT,16,Morocco N,11/18/2004,-6.3724,35.3205,551,552,Sepietta oweniana,Sepiolidae,Sepioidea,2,64
Maroc-0411,BT,17,Morocco N,11/19/2004,-6.5826,35.5481,844,827,Pyroteuthis margaritifera,Pyroteuthidae,Oegopsida,1,5
Maroc-0411,BT,18,Morocco N,11/19/2004,-6.5631,35.3932,1028,1019,Japetella diaphana,Amphitretidae,Octopoda,2,52
Maroc-0411,BT,18,Morocco N,11/19/2004,-6.5631,35.3932,1028,1019,Mastigoteuthidae indet,Mastigoteuthidae,Oegopsida,3,25
Maroc-0411,BT,20,Morocco N,11/20/2004,-7.2319,35.3601,1247,1244,Japetella diaphana,Amphitretidae,Octopoda,1,8
Maroc-0411,BT,20,Morocco N,11/20/2004,-7.2319,35.3601,1247,1244,Mastigoteuthidae indet,Mastigoteuthidae,Oegopsida,2,170
Maroc-0411,BT,20,Morocco N,11/20/2004,-7.2319,35.3601,1247,1244,Onychoteuthidae indet,Onychoteuthidae,Oegopsida,1,5
Maroc-0411,BT,22,Morocco N,11/20/2004,-7.0897,35.2230,1118,1126,Mastigoteuthidae indet,Mastigoteuthidae,Oegopsida,1,18
Maroc-0411,BT,24,Morocco N,11/21/2004,-7.2306,35.0564,1255,1264,Histioteuthis reversa,Histioteuthidae,Oegopsida,1,250
Maroc-0411,BT,21,Morocco N,11/21/2004,-7.1130,35.2757,1175,1163,Mastigoteuthidae indet,Mastigoteuthidae,Oegopsida,1,15
Maroc-0411,BT,26,Morocco N,11/22/2004,-7.5963,35.2260,1821,1825,Histioteuthis sp,Histioteuthidae,Oegopsida,1,410
Maroc-0411,BT,28,Morocco N,11/23/2004,-7.4904,34.5819,1865,1850,Opisthoteuthis sp,Opisthoteuthidae,Octopoda,1,159
Maroc-0411,BT,29,Morocco N,11/23/2004,-7.3908,34.5676,1468,1481,Cirrothauma sp,Cirroteuthidae,Octopoda,1,780
Maroc-0411,BT,29,Morocco N,11/23/2004,-7.3908,34.5676,1468,1481,Galiteuthis armata,Cranchiidae,Oegopsida,1,20
Maroc-0411,BT,33,Morocco N,11/24/2004,-7.2327,34.5866,1248,1242,Discoteuthis sp,Cycloteuthidae,Oegopsida,1,16
Maroc-0411,BT,33,Morocco N,11/24/2004,-7.2327,34.5866,1248,1242,Mastigoteuthidae indet,Mastigoteuthidae,Oegopsida,2,380
Maroc-0411,BT,31,Morocco N,11/24/2004,-7.2061,34.4821,1824,1773,Cirrothauma sp,Cirroteuthidae,Octopoda,1,7300
Maroc-0411,BT,37,Morocco N,11/25/2004,-7.0591,34.5544,777,783,Opisthoteuthis sp,Opisthoteuthidae,Octopoda,1,504
Maroc-0411,BT,35,Morocco N,11/25/2004,-6.4557,35.1458,583,591,Haliphron atlanticus,Alloposidae,Octopoda,1,38
Maroc-0411,BT,35,Morocco N,11/25/2004,-6.4557,35.1458,583,591,Todarodes sagittatus,Ommastrephidae,Oegopsida,1,660
Maroc-0411,BT,42,Morocco N,11/26/2004,-6.5966,34.5280,744,755,Illex coindetii,Ommastrephidae,Oegopsida,1,847
Maroc-0411,BT,42,Morocco N,11/26/2004,-6.5966,34.5280,744,755,Opisthoteuthis sp,Opisthoteuthidae,Octopoda,2,390
Maroc-0411,BT,42,Morocco N,11/26/2004,-6.5966,34.5280,744,755,Opisthoteuthis sp,Opisthoteuthidae,Octopoda,1,1180
Maroc-0411,BT,40,Morocco N,11/26/2004,-6.5887,34.5915,740,742,Illex coindetii,Ommastrephidae,Oegopsida,1,730
Maroc-0411,BT,40,Morocco N,11/26/2004,-6.5887,34.5915,740,742,Neorossia caroli,Sepiolidae,Sepioidea,1,17
Maroc-0411,BT,39,Morocco N,11/26/2004,-6.5091,34.5896,582,582,Neorossia caroli,Sepiolidae,Sepioidea,1,39
Maroc-0411,BT,38,Morocco N,11/26/2004,-6.4433,35.0342,508,511,Illex coindetii,Ommastrephidae,Oegopsida,1,127
Maroc-0411,BT,38,Morocco N,11/26/2004,-6.4433,35.0342,508,511,Neorossia caroli,Sepiolidae,Sepioidea,2,121
Maroc-0411,BT,45,Morocco N,11/28/2004,-7.2242,34.2689,1213,1218,Ancistroteuthis lichtensteinii,Onychoteuthidae,Oegopsida,1,161
Maroc-0411,BT,44,Morocco N,11/28/2004,-7.1198,34.3357,1426,1420,Mastigoteuthidae indet,Mastigoteuthidae,Oegopsida,3,277
Maroc-0411,BT,47,Morocco N,11/29/2004,-7.4278,34.2667,1683,1664,Cirrothauma sp,Cirroteuthidae,Octopoda,1,9700
Maroc-0411,BT,48,Morocco N,11/29/2004,-7.2570,34.1985,841,842,Opisthoteuthis sp,Opisthoteuthidae,Octopoda,1,450
